dataset_id,weight
1,2.5e-05
1,7.2e-05
1,0.000104
1,1.2e-05
1,4.2e-05
1,8.6e-05
1,2.1e-05
1,0.000359
1,0.000105
1,2.9e-05
1,0.0795
1,5.9e-05
1,3.3e-05
1,3.4e-05
1,5.1e-05
1,0.000248
1,3.4e-05
1,5.1e-05
1,8e-06
1,2.9e-05
1,6e-05
1,1.7e-05
1,1.7e-05
1,4.2e-05
1,2.9e-05
1,2.5e-05
1,2.9e-05
1,4.2e-05
1,1.2e-05
1,2.5e-05
1,0.000123
1,2.1e-05
1,1.7e-05
1,4.2e-05
1,2.5e-05
1,3.3e-05
1,2.9e-05
1,8e-05
1,4.6e-05
1,1.7e-05
1,9.1e-05
1,0.000282
1,5.1e-05
1,0.004698
1,3.8e-05
1,5.9e-05
1,2.5e-05
1,0.000229
1,3.8e-05
1,4.2e-05
1,2.1e-05
1,4.6e-05
1,1.7e-05
1,0.004694
1,7.8e-05
1,1.7e-05
1,8e-06
1,4.6e-05
1,8.9e-05
1,3e-05
1,5.6e-05
1,2.1e-05
1,0.000243
1,0.405898
1,0.00016
1,3e-05
1,0.140901
1,2.5e-05
1,2.9e-05
1,0.000101
1,1.7e-05
1,1.7e-05
1,1.7e-05
1,4.3e-05
1,2.1e-05
1,2.1e-05
1,0.000122
1,2.9e-05
1,0.00047
1,5.4e-05
1,4.2e-05
1,1.2e-05
1,4.2e-05
1,2.5e-05
1,1.7e-05
1,2.9e-05
1,8e-06
1,9.4e-05
1,1.2e-05
1,0.000342
1,0.358532
1,5.5e-05
1,1.7e-05
1,8.6e-05
1,3.3e-05
1,1.7e-05
1,4.2e-05
1,3.4e-05
1,2.5e-05
1,2.9e-05
1,2.8e-05
1,8e-05
1,0.000115
1,1.4e-05
1,4.7e-05
1,9.5e-05
1,2.3e-05
1,0.077803
1,0.000116
1,3.2e-05
1,0.000389
1,6.6e-05
1,3.7e-05
1,3.7e-05
1,5.7e-05
1,0.000275
1,3.7e-05
1,5.7e-05
1,9e-06
1,3.2e-05
1,6.7e-05
1,1.8e-05
1,1.8e-05
1,4.7e-05
1,3.3e-05
1,2.8e-05
1,3.3e-05
1,4.6e-05
1,1.4e-05
1,2.8e-05
1,0.000136
1,2.3e-05
1,1.8e-05
1,4.7e-05
1,2.8e-05
1,3.7e-05
1,3.3e-05
1,8.9e-05
1,5.1e-05
1,1.8e-05
1,0.000101
1,0.000312
1,5.6e-05
1,4.7e-05
1,4.2e-05
1,0.578027
1,2.8e-05
1,0.067338
1,4.2e-05
1,4.6e-05
1,2.3e-05
1,5.1e-05
1,1.8e-05
1,4.2e-05
1,8.6e-05
1,1.8e-05
1,9e-06
1,5.1e-05
1,9.8e-05
1,3.3e-05
1,6.2e-05
1,2.3e-05
1,0.00027
1,0.186706
1,0.000177
1,3.3e-05
1,0.042643
1,2.8e-05
1,3.2e-05
1,0.000112
1,1.8e-05
1,1.8e-05
1,1.8e-05
1,4.7e-05
1,2.3e-05
1,2.3e-05
1,0.000136
1,3.3e-05
1,0.021163
1,6e-05
1,4.7e-05
1,1.4e-05
1,4.7e-05
1,2.8e-05
1,1.8e-05
1,3.3e-05
1,9e-06
1,0.000104
1,1.4e-05
1,0.00038
1,3.7e-05
1,0.020702
1,1.8e-05
1,9.5e-05
1,3.7e-05
1,1.8e-05
1,4.7e-05
1,3.7e-05
1,2.8e-05
1,3.2e-05
1,1.7e-05
1,4.9e-05
1,0.01901
1,8e-06
1,2.9e-05
1,5.8e-05
1,1.4e-05
1,0.000243
1,0.015854
1,2e-05
1,0.009708
1,4e-05
1,2.3e-05
1,2.3e-05
1,3.5e-05
1,0.000168
1,2.3e-05
1,3.5e-05
1,6e-06
1,2e-05
1,4.1e-05
1,1.1e-05
1,1.1e-05
1,2.8e-05
1,2e-05
1,1.7e-05
1,2e-05
1,2.8e-05
1,8e-06
1,1.7e-05
1,8.3e-05
1,1.4e-05
1,1.1e-05
1,2.9e-05
1,1.7e-05
1,2.3e-05
1,0.41355
1,5.5e-05
1,3.1e-05
1,1.1e-05
1,6.2e-05
1,0.085422
1,3.4e-05
1,2.9e-05
1,2.5e-05
1,4e-05
1,1.7e-05
1,0.000155
1,2.6e-05
1,0.003185
1,1.4e-05
1,3.2e-05
1,1.1e-05
1,2.6e-05
1,0.06003
1,1.1e-05
1,6e-06
1,3.1e-05
1,6e-05
1,2e-05
1,3.8e-05
1,1.4e-05
1,0.000165
1,0.2026
1,0.000108
1,0.025274
1,0.048183
1,0.110502
1,2e-05
1,0.003225
1,1.1e-05
1,1.1e-05
1,1.1e-05
1,2.9e-05
1,1.4e-05
1,1.4e-05
1,8.3e-05
1,2e-05
1,0.000319
1,3.7e-05
1,2.8e-05
1,8e-06
1,2.8e-05
1,1.7e-05
1,1.1e-05
1,2e-05
1,6e-06
1,6.4e-05
1,8e-06
1,0.000232
1,2.3e-05
1,3.7e-05
1,1.1e-05
1,5.8e-05
1,2.3e-05
1,1.1e-05
1,2.9e-05
1,2.3e-05
1,1.7e-05
1,2e-05
1,3.1e-05
1,0.169895
1,0.00013
1,1.6e-05
1,5.3e-05
1,0.000108
1,2.6e-05
1,0.035583
1,0.000131
1,3.7e-05
1,0.000441
1,7.4e-05
1,4.2e-05
1,4.2e-05
1,6.4e-05
1,0.000312
1,4.2e-05
1,0.011775
1,1e-05
1,3.7e-05
1,7.6e-05
1,2.1e-05
1,2.1e-05
1,5.3e-05
1,3.7e-05
1,3.2e-05
1,3.7e-05
1,5.3e-05
1,1.6e-05
1,3.1e-05
1,0.000154
1,2.6e-05
1,2.1e-05
1,5.3e-05
1,3.1e-05
1,4.2e-05
1,3.7e-05
1,0.000101
1,5.8e-05
1,2.1e-05
1,0.000115
1,0.000354
1,6.4e-05
1,5.3e-05
1,4.7e-05
1,7.4e-05
1,3.2e-05
1,0.000288
1,4.7e-05
1,5.3e-05
1,2.6e-05
1,5.8e-05
1,2.1e-05
1,4.8e-05
1,9.8e-05
1,2.1e-05
1,1e-05
1,5.8e-05
1,0.000111
1,3.8e-05
1,7e-05
1,0.60898
1,0.000306
1,0.129875
1,0.000201
1,3.8e-05
1,0.036675
1,3.2e-05
1,3.7e-05
1,0.000127
1,2.1e-05
1,2.1e-05
1,2.1e-05
1,5.4e-05
1,2.6e-05
1,2.6e-05
1,0.000154
1,3.7e-05
1,0.000591
1,6.8e-05
1,5.3e-05
1,1.6e-05
1,5.3e-05
1,3.1e-05
1,2.1e-05
1,3.7e-05
1,1e-05
1,0.000118
1,1.6e-05
1,0.000431
1,4.2e-05
1,6.9e-05
1,2.1e-05
1,0.000108
1,4.2e-05
1,2.1e-05
1,5.3e-05
1,4.2e-05
1,3.1e-05
1,3.7e-05
1,0.000125
1,0.000363
1,0.00052
1,6.3e-05
1,0.000211
1,0.000431
1,0.000105
1,0.001802
1,0.000525
1,0.000147
1,0.001762
1,0.000297
1,0.000167
1,0.000169
1,0.000256
1,0.001244
1,0.000169
1,0.000258
1,4.2e-05
1,0.000146
1,0.000303
1,8.3e-05
1,8.4e-05
1,0.000211
1,0.000148
1,0.000126
1,0.000148
1,0.00021
1,6.2e-05
1,0.000125
1,0.000616
1,0.000105
1,8.4e-05
1,0.000211
1,0.000125
1,0.000167
1,0.000148
1,0.95869
1,0.000233
1,8.3e-05
1,0.000459
1,0.001414
1,0.000254
1,0.000211
1,0.000189
1,0.000297
1,0.000127
1,0.001149
1,0.00019
1,0.00021
1,0.000105
1,0.000233
1,8.3e-05
1,0.00019
1,0.000391
1,8.4e-05
1,4.1e-05
1,0.000231
1,0.000444
1,0.00015
1,0.00028
1,0.000104
1,0.001221
1,0.004223
1,0.000802
1,0.00015
1,0.006158
1,0.000126
1,0.000147
1,0.000509
1,8.3e-05
1,8.3e-05
1,8.3e-05
1,0.000214
1,0.000104
1,0.000105
1,0.000614
1,0.000148
1,0.002361
1,0.000273
1,0.000211
1,6.2e-05
1,0.000211
1,0.000125
1,8.4e-05
1,0.000148
1,4.2e-05
1,0.000472
1,6.2e-05
1,0.001719
1,0.000168
1,0.000276
1,8.3e-05
1,0.00043
1,0.000168
1,8.4e-05
1,0.000211
1,0.000169
1,0.000125
1,0.000147
1,3.6e-05
1,0.000105
1,0.00015
1,1.8e-05
1,6.1e-05
1,0.000125
1,3e-05
1,0.000522
1,0.000152
1,4.3e-05
1,0.00051
1,8.6e-05
1,4.8e-05
1,4.9e-05
1,7.4e-05
1,0.00036
1,4.9e-05
1,7.5e-05
1,1.2e-05
1,4.2e-05
1,8.8e-05
1,2.4e-05
1,2.4e-05
1,6.1e-05
1,4.3e-05
1,3.6e-05
1,4.3e-05
1,6.1e-05
1,1.8e-05
1,3.6e-05
1,0.000178
1,3e-05
1,2.4e-05
1,6.1e-05
1,3.6e-05
1,4.8e-05
1,4.3e-05
1,0.000117
1,6.7e-05
1,2.4e-05
1,0.000133
1,0.000409
1,7.3e-05
1,6.1e-05
1,5.5e-05
1,8.6e-05
1,3.7e-05
1,0.000333
1,5.5e-05
1,6.1e-05
1,3e-05
1,6.8e-05
1,2.4e-05
1,5.5e-05
1,0.778272
1,2.4e-05
1,1.2e-05
1,6.7e-05
1,0.000129
1,4.3e-05
1,8.1e-05
1,3e-05
1,0.040953
1,0.156854
1,0.000232
1,4.3e-05
1,0.001783
1,3.6e-05
1,4.2e-05
1,0.000147
1,2.4e-05
1,2.4e-05
1,2.4e-05
1,6.2e-05
1,3e-05
1,3e-05
1,0.006944
1,4.3e-05
1,0.00745
1,7.9e-05
1,6.1e-05
1,1.8e-05
1,6.1e-05
1,3.6e-05
1,2.4e-05
1,4.3e-05
1,1.2e-05
1,0.000137
1,1.8e-05
1,0.000498
1,4.9e-05
1,8e-05
1,2.4e-05
1,0.000124
1,4.9e-05
1,2.4e-05
1,6.1e-05
1,4.9e-05
1,3.6e-05
1,4.3e-05
1,0.000125
1,0.000363
1,0.00052
1,6.3e-05
1,0.000211
1,0.000431
1,0.000105
1,0.001802
1,0.000525
1,0.000147
1,0.001762
1,0.000297
1,0.000167
1,0.000169
1,0.000256
1,0.001244
1,0.000169
1,0.000258
1,4.2e-05
1,0.000146
1,0.000303
1,8.3e-05
1,8.4e-05
1,0.000211
1,0.000148
1,0.000126
1,0.000148
1,0.00021
1,6.2e-05
1,0.000125
1,0.000616
1,0.000105
1,8.4e-05
1,0.000211
1,0.000125
1,0.000167
1,0.000148
1,0.95869
1,0.000233
1,8.3e-05
1,0.000459
1,0.001414
1,0.000254
1,0.000211
1,0.000189
1,0.000297
1,0.000127
1,0.001149
1,0.00019
1,0.00021
1,0.000105
1,0.000233
1,8.3e-05
1,0.00019
1,0.000391
1,8.4e-05
1,4.1e-05
1,0.000231
1,0.000444
1,0.00015
1,0.00028
1,0.000104
1,0.001221
1,0.004223
1,0.000802
1,0.00015
1,0.006158
1,0.000126
1,0.000147
1,0.000509
1,8.3e-05
1,8.3e-05
1,8.3e-05
1,0.000214
1,0.000104
1,0.000105
1,0.000614
1,0.000148
1,0.002361
1,0.000273
1,0.000211
1,6.2e-05
1,0.000211
1,0.000125
1,8.4e-05
1,0.000148
1,4.2e-05
1,0.000472
1,6.2e-05
1,0.001719
1,0.000168
1,0.000276
1,8.3e-05
1,0.00043
1,0.000168
1,8.4e-05
1,0.000211
1,0.000169
1,0.000125
1,0.000147
1,5.1e-05
1,0.000148
1,0.000212
1,2.6e-05
1,8.6e-05
1,0.000176
1,4.3e-05
1,0.000736
1,0.000214
1,6e-05
1,0.000719
1,0.000121
1,6.8e-05
1,6.9e-05
