date,topic,weight,n
2012-08-01,74,0.970803864510261,19
2012-08-02,122,0.971851103259302,24
2012-08-03,263,0.97068088621048,20
2012-08-04,376,0.968890469976,6
2012-08-05,475,0.971290939185,14
2012-08-06,518,0.971694701439,22
2012-08-07,638,0.972305122932,24
2012-08-08,736,0.972104752969,22
2012-08-09,813,0.9721590816,15
2012-08-10,969,0.972396571572,18
2012-08-11,1036,0.97220048952,11
2012-08-12,1187,0.97090199404,17
2012-08-13,1224,0.971851314561,15
2012-08-14,1307,0.9717677811,23
2012-08-15,1410,0.97097961182,29
2012-08-16,1579,0.972275987866,18
2012-08-17,1688,0.971387084621,22
2012-08-18,1799,0.972114,9
2012-08-19,1886,0.972307,19
2012-08-20,1967,0.999471,22
2012-08-21,2056,0.999518,20
2012-08-22,2126,0.999461,20
2012-08-23,2254,0.99967,25
2012-08-24,2374,0.999686,20
2012-08-25,2449,0.999728,17
2012-08-26,2594,0.998968,12
2012-08-27,2607,0.999519,18
2012-08-28,2747,0.99954,23
2012-08-29,2887,0.998905,15
2012-08-30,2994,0.999598,20
2012-08-31,3075,0.999679,20
2012-09-01,3159,1,13
2012-09-01,3159,0.999358103041,0
2012-09-02,3241,0.999502,18
2012-09-03,3368,0.999573,19
2012-09-04,3401,0.999569,20
2012-09-05,3502,0.999292,18
2012-09-06,3662,0.999653,23
2012-09-07,3721,0.999747,19
2012-09-08,3814,0.999537,10
2012-09-09,3969,0.999786,16
2012-09-10,4076,0.999628,24
2012-09-11,4119,0.999674,17
2012-09-12,4231,0.99926,17
2012-09-13,4375,0.999316,16
2012-09-14,4442,0.999668,23
2012-09-15,4570,0.998853,10
2012-09-16,4700,0.999073213642,15
2012-09-17,4774,0.99875335014,29
2012-09-18,4804,0.998630404709,14
2012-09-19,4935,0.998400631536,21
2012-09-20,5073,0.999208154415,16
2012-09-21,5156,0.999443076912,20
2012-09-22,5294,0.999133187052,17
2012-09-23,5347,0.972859763448,20
2012-09-24,5463,0.972565071156,15
2012-09-25,5551,0.972223951634,17
2012-09-26,5657,0.97197220792,25
2012-09-27,5794,0.97211461848,17
2012-09-28,5845,0.972243108088,21
2012-09-29,5944,0.971842017174,17
2012-09-30,6089,0.97128998664383,14
