topic,date,neighbor,weight,alpha,n
3101,2012-09-01,3101,1,0.005369,0
3102,2012-08-21,2009,0.756644,0.04445,16
3102,2012-08-22,2178,0.607973290372,0.039767,11
3102,2012-09-01,3102,1,0.015526,6
3103,2012-09-01,3103,1,0.022231,2
3104,2012-08-11,1095,0.651995746845,0.01005,7
3104,2012-08-18,1721,0.733136,0.010018,8
3104,2012-08-25,2456,0.738107,0.007487,7
3104,2012-09-01,3104,1,0.002678,2
3104,2012-09-08,3820,0.705718,0.009341,7
3105,2012-09-01,3105,1,0.009034,4
3106,2012-09-01,3106,1,0.018424,3
3107,2012-09-01,3107,1,0.004501,2
3108,2012-09-01,3108,1,0.077093,5
3109,2012-08-26,2525,0.719323,0.065174,21
3109,2012-08-27,2627,0.988764,0.029764,10
3109,2012-08-28,2762,0.987685,0.013737,4
3109,2012-08-29,2888,0.97504,0.008083,5
3109,2012-08-30,2953,0.993178,0.01602,14
3109,2012-08-31,3002,0.992695,0.025075,16
3109,2012-09-01,3109,1,0.022448,2
3109,2012-09-01,3109,0.985443363025,0.022448,0
3110,2012-09-01,3110,1,0.006281,2
3111,2012-09-01,3111,1,0.075391,5
3112,2012-09-01,3112,1,0.012694,3
3113,2012-09-01,3113,1,0.007158,1
3114,2012-08-31,3089,0.716296,0.007225,2
3114,2012-09-01,3114,1,0.007213,2
3115,2012-09-01,3115,1,0.010968,4
3116,2012-09-01,3116,1,0.053243,5
3117,2012-09-01,3117,1,0.007252,3
3118,2012-09-01,3118,1,0.011022,5
3119,2012-09-01,3119,1,0.00178,1
3120,2012-09-01,3120,1,0.006266,1
3121,2012-08-26,2544,0.89926,0.005095,1
3121,2012-08-27,2683,0.930992,0.004425,2
3121,2012-08-28,2781,0.947984,0.012751,10
3121,2012-08-28,2749,0.658588009004,0.022311,10
3121,2012-08-29,2884,0.920767,0.025291,12
3121,2012-08-30,2946,0.840796,0.029247,32
3121,2012-08-30,2920,0.793477,0.012609,0
3121,2012-08-31,3088,0.920963,0.016108,17
3121,2012-09-01,3121,1,0.012969,5
3121,2012-09-01,3121,0.848172847369,0.012969,0
3121,2012-09-02,3230,0.902358,0.011093,3
3121,2012-09-03,3388,0.925583,0.014863,4
3121,2012-09-04,3455,0.948774,0.005689,3
3121,2012-09-05,3511,0.925347,0.008588,3
3121,2012-09-06,3696,0.949559,0.006192,3
3121,2012-09-07,3739,0.954291,0.003074,1
3122,2012-09-01,3122,1,0.003567,2
3123,2012-09-01,3123,1,0.003574,0
3124,2012-09-01,3124,1,0.009017,3
3125,2012-09-01,3125,1,0.006336,2
3126,2012-09-01,3126,1,0.005382,2
3127,2012-09-01,3127,1,0.006334,3
3128,2012-09-01,3128,1,0.009005,2
3129,2012-09-01,3129,1,0.002668,1
3130,2012-09-01,3130,1,0.005369,1
3131,2012-08-01,26,0.93313782884847,0.030911,21
3131,2012-08-02,118,0.696380284539943,0.035859,34
3131,2012-08-03,264,0.948153562463247,0.028743,22
3131,2012-08-04,375,0.949478022416,0.045218,28
3131,2012-08-05,419,0.946518310949,0.029729,16
3131,2012-08-06,561,0.93893448538,0.029969,25
3131,2012-08-07,693,0.954309822765,0.027614,25
3131,2012-08-08,705,0.943303549257,0.036433,32
3131,2012-08-09,842,0.950151215232,0.033313,24
3131,2012-08-10,988,0.960687634736,0.028575,26
3131,2012-08-11,1069,0.922951659969,0.022588,12
3131,2012-08-12,1172,0.95911980198,0.028042,15
3131,2012-08-13,1233,0.919214343331,0.038777,32
3131,2012-08-14,1356,0.957346623747,0.029368,25
3131,2012-08-15,1404,0.953799023291,0.026134,27
3131,2012-08-16,1577,0.706425657388,0.016743,19
3131,2012-08-17,1692,0.960812264042,0.028928,26
3131,2012-08-18,1771,0.964901,0.021322,12
3131,2012-08-19,1855,0.961687,0.030014,14
3131,2012-08-20,1928,0.95903,0.024367,18
3131,2012-08-21,2072,0.967135,0.033284,23
3131,2012-08-22,2189,0.961159,0.027797,26
3131,2012-08-23,2263,0.965232,0.023638,22
3131,2012-08-24,2389,0.971986,0.016002,22
3131,2012-08-25,2484,0.964933,0.023817,13
3131,2012-08-26,2577,0.97179,0.040608,19
3131,2012-08-27,2623,0.948697,0.02386,24
3131,2012-08-28,2702,0.969093,0.02356,24
3131,2012-08-29,2821,0.969853,0.037406,29
3131,2012-08-30,2990,0.836572,0.026643,34
3131,2012-08-31,3034,0.971266,0.022087,29
3131,2012-09-01,3131,1,0.026349,13
3131,2012-09-01,3131,0.943357642756,0.026349,0
3131,2012-09-02,3258,0.973858,0.031789,17
3131,2012-09-03,3346,0.972806,0.027436,21
3131,2012-09-04,3491,0.963037,0.019407,22
3131,2012-09-05,3572,0.899362,0.027045,30
3131,2012-09-06,3645,0.938515,0.026225,32
3131,2012-09-07,3783,0.972808,0.026771,29
3131,2012-09-08,3874,0.955347,0.02205,10
3131,2012-09-09,3947,0.962464,0.020832,14
3131,2012-09-10,4023,0.972079,0.027162,29
3131,2012-09-11,4150,0.96916,0.03067,23
3131,2012-09-12,4205,0.962885,0.021597,22
3131,2012-09-13,4378,0.965302,0.023762,24
3131,2012-09-14,4440,0.969933,0.024791,31
3131,2012-09-15,4503,0.964885,0.014868,13
3131,2012-09-16,4605,0.959212149538,0.032645,21
3131,2012-09-17,4782,0.959519415652,0.027873,22
3131,2012-09-18,4900,0.947288455939,0.02746,27
3131,2012-09-19,4981,0.821307271382,0.023526,22
3131,2012-09-20,5024,0.89625179252,0.018208,23
3131,2012-09-21,5146,0.957285875552,0.025331,25
3131,2012-09-22,5253,0.827866451667,0.011546,10
3131,2012-09-23,5374,0.94320028304,0.023079,16
3131,2012-09-24,5414,0.959126047325,0.024906,17
3131,2012-09-25,5547,0.95991033696,0.024218,26
3131,2012-09-26,5662,0.949168703175,0.029896,30
3131,2012-09-27,5767,0.946857009384,0.028444,27
3131,2012-09-28,5843,0.958900012125,0.019803,30
3131,2012-09-29,5916,0.95185133342,0.022615,18
3131,2012-09-30,6037,0.939492666167798,0.029596,15
3132,2012-09-01,3132,1,0.004479,1
3133,2012-09-01,3133,1,0.003576,1
3134,2012-09-01,3134,1,0.009045,2
3135,2012-09-01,3135,1,0.005349,2
3136,2012-09-01,3136,1,0.007143,3
3137,2012-09-01,3137,1,0.006314,4
3138,2012-09-01,3138,1,0.017265,6
3139,2012-09-01,3139,1,0.009968,2
3140,2012-09-01,3140,1,0.003556,1
3141,2012-09-01,3141,1,0.019644,7
3142,2012-08-08,791,0.6107078067,0.033051,20
3142,2012-08-09,876,0.665084802528,0.046916,29
3142,2012-08-10,933,0.610456044456,0.039551,19
3142,2012-08-11,1080,0.637545262368,0.067749,27
3142,2012-08-13,1234,0.626019293523,0.064399,42
3142,2012-08-14,1383,0.603274555418,0.047163,31
