date,topic,weight,n
2012-08-08,791,0.6107078067,20
2012-08-09,876,0.665084802528,29
2012-08-10,933,0.610456044456,19
2012-08-11,1080,0.637545262368,27
2012-08-13,1234,0.626019293523,42
2012-08-14,1383,0.603274555418,31
2012-08-15,1500,0.604170847404,29
2012-08-16,1544,0.610682993366,20
2012-08-17,1609,0.64104992214,13
2012-08-18,1795,0.732507,7
2012-08-19,1851,0.656299597552,10
2012-08-20,1940,0.81723,22
2012-08-21,2061,0.797921,11
2012-08-22,2168,0.728547,7
2012-08-22,2157,0.607214209455,22
2012-08-23,2292,0.810648,16
2012-08-24,2390,0.721478,14
2012-08-26,2534,0.872979,15
2012-08-27,2617,0.704132,42
2012-08-28,2721,0.607574522709,25
2012-08-29,2842,0.795814,60
2012-08-30,2945,0.742469,48
2012-08-31,3007,0.711488,22
2012-08-31,3069,0.822633,15
2012-08-31,3015,0.719937,2
2012-09-01,3142,1,16
2012-09-01,3142,0.676725052689,0
2012-09-02,3275,0.705366,20
2012-09-02,3209,0.759516,2
2012-09-03,3308,0.713584,26
2012-09-03,3375,0.726275,8
2012-09-04,3492,0.607898711475,23
2012-09-06,3699,0.77967,26
2012-09-07,3705,0.771958,8
2012-09-07,3740,0.60751964367,30
2012-09-08,3889,0.750362,17
2012-09-09,3918,0.866966,24
2012-09-10,4069,0.845673,25
2012-09-11,4130,0.842769,15
2012-09-12,4229,0.782004,2
2012-09-12,4244,0.807497,12
2012-09-13,4400,0.847586,7
2012-09-13,4305,0.714767,16
2012-09-14,4413,0.726692,10
2012-09-14,4480,0.81124,6
2012-09-15,4554,0.760265,12
2012-09-16,4610,0.63567118836,12
2012-09-17,4719,0.64913530959,23
2012-09-18,4805,0.662499004628,11
2012-09-19,4979,0.628341411194,29
2012-09-20,5081,0.61945093368,18
2012-09-20,5054,0.608290221546,7
2012-09-21,5161,0.730556702594,19
2012-09-22,5261,0.624261469198,12
2012-09-23,5335,0.741704151422,14
2012-09-23,5328,0.64713810104,2
2012-09-24,5470,0.723966278859,28
2012-09-25,5501,0.719664046632,24
2012-09-26,5604,0.648086597004,20
2012-09-26,5620,0.692268408258,8
2012-09-27,5791,0.7255759953,26
2012-09-28,5829,0.66259000488,24
2012-09-30,6096,0.603329522280552,13
