document_id	topic_id	weight
1	1	9e-06
1	2	1.1e-05
1	3	0.470603
1	4	1.8e-05
1	5	4e-06
1	6	2e-06
1	7	7e-06
1	8	0.000216
1	9	0.023284
1	10	9e-06
1	11	9e-06
1	12	0.17387
1	13	1.4e-05
1	14	2.4e-05
1	15	1.8e-05
1	16	1.5e-05
1	17	0.163645
1	18	3e-06
1	19	1.7e-05
1	20	3.8e-05
1	21	4.3e-05
1	22	6e-06
1	23	0.050942
1	24	2.1e-05
1	25	2.1e-05
1	26	3.8e-05
1	27	2.9e-05
1	28	3e-06
1	29	3e-06
1	30	3e-06
1	31	2.5e-05
1	32	1.8e-05
1	33	2.2e-05
1	34	1.1e-05
1	35	1.2e-05
1	36	2e-05
1	37	1.5e-05
1	38	6e-06
1	39	6e-06
1	40	8e-06
1	41	4.1e-05
1	42	2.7e-05
1	43	1.4e-05
1	44	0.000121
1	45	1.2e-05
1	46	8e-06
1	47	7e-06
1	48	5e-06
1	49	1.8e-05
1	50	7e-06
1	51	6e-06
1	52	1e-05
1	53	6e-06
1	54	3e-06
1	55	1.5e-05
1	56	1e-05
1	57	1e-05
1	58	0.115885
1	59	6.2e-05
1	60	2.6e-05
1	61	1e-05
1	62	5.3e-05
1	63	7e-06
1	64	3.7e-05
1	65	1.6e-05
1	66	7.9e-05
1	67	6e-06
1	68	3.8e-05
1	69	1.3e-05
1	70	1.8e-05
1	71	1.5e-05
1	72	2.1e-05
1	73	8e-06
1	74	1.1e-05
1	75	2e-05
1	76	8e-06
1	77	8e-06
1	78	2e-06
1	79	1.1e-05
1	80	1.1e-05
1	81	4e-06
1	82	2.8e-05
1	83	7e-06
1	84	2e-06
1	85	4e-06
1	86	1.6e-05
1	87	1.2e-05
1	88	8e-06
1	89	8e-06
1	90	7e-06
1	91	2.2e-05
1	92	1.3e-05
1	93	1.5e-05
1	94	2.2e-05
1	95	9e-06
1	96	1.7e-05
1	97	1.5e-05
1	98	9e-06
1	99	1.1e-05
1	100	1.7e-05
2	1	3e-06
2	2	4e-06
2	3	6e-06
2	4	7e-06
2	5	2e-06
2	6	1e-06
2	7	3e-06
2	8	8.4e-05
2	9	4.5e-05
2	10	3e-06
2	11	3e-06
2	12	4.4e-05
2	13	5e-06
2	14	9e-06
2	15	7e-06
2	16	6e-06
2	17	1e-05
2	18	1e-06
2	19	7e-06
2	20	1.5e-05
2	21	1.7e-05
2	22	2e-06
2	23	0.000102
2	24	8e-06
2	25	8e-06
2	26	1.5e-05
2	27	0.228454
2	28	1e-06
2	29	1e-06
2	30	1e-06
2	31	0.38898
2	32	7e-06
2	33	8e-06
2	34	4e-06
2	35	5e-06
2	36	8e-06
2	37	6e-06
2	38	2e-06
2	39	2e-06
2	40	3e-06
2	41	1.6e-05
2	42	1.1e-05
2	43	5e-06
2	44	4.7e-05
2	45	5e-06
2	46	3e-06
2	47	3e-06
2	48	2e-06
2	49	7e-06
2	50	3e-06
2	51	2e-06
2	52	4e-06
2	53	2e-06
2	54	1e-06
2	55	6e-06
2	56	4e-06
2	57	4e-06
2	58	1.9e-05
2	59	0.381698
2	60	1e-05
2	61	4e-06
2	62	2e-05
2	63	3e-06
2	64	1.4e-05
2	65	6e-06
2	66	3.1e-05
2	67	2e-06
2	68	1.5e-05
2	69	5e-06
2	70	7e-06
2	71	6e-06
2	72	8e-06
2	73	3e-06
2	74	4e-06
2	75	8e-06
2	76	3e-06
2	77	3e-06
2	78	1e-06
2	79	4e-06
2	80	4e-06
2	81	2e-06
2	82	1.1e-05
2	83	3e-06
2	84	1e-06
2	85	2e-06
2	86	6e-06
2	87	5e-06
2	88	3e-06
2	89	3e-06
2	90	3e-06
2	91	9e-06
2	92	5e-06
2	93	6e-06
2	94	9e-06
2	95	3e-06
2	96	7e-06
2	97	6e-06
2	98	3e-06
2	99	4e-06
2	100	7e-06
3	1	7e-06
3	2	9e-06
3	3	0.005857
3	4	1.5e-05
3	5	3e-06
3	6	1e-06
3	7	6e-06
3	8	0.029393
3	9	0.070218
3	10	7e-06
3	11	7e-06
3	12	9.3e-05
3	13	1.1e-05
3	14	2e-05
3	15	1.5e-05
3	16	1.2e-05
3	17	2.1e-05
3	18	3e-06
3	19	1.4e-05
3	20	3e-05
3	21	0.231444
3	22	4e-06
3	23	0.008394
3	24	0.316744
3	25	1.7e-05
3	26	3.1e-05
3	27	2.4e-05
3	28	3e-06
3	29	3e-06
3	30	3e-06
3	31	2e-05
3	32	1.5e-05
3	33	1.8e-05
3	34	9e-06
3	35	1e-05
3	36	1.6e-05
3	37	1.2e-05
3	38	5e-06
3	39	5e-06
3	40	6e-06
3	41	3.3e-05
3	42	2.2e-05
3	43	1.1e-05
3	44	0.041003
3	45	1e-05
3	46	6e-06
3	47	6e-06
3	48	4e-06
3	49	0.295704
3	50	6e-06
3	51	4e-06
3	52	8e-06
3	53	5e-06
3	54	3e-06
3	55	1.2e-05
3	56	8e-06
3	57	8e-06
3	58	3.9e-05
3	59	5e-05
3	60	2.1e-05
3	61	8e-06
3	62	4.3e-05
3	63	6e-06
3	64	3e-05
3	65	1.3e-05
3	66	6.4e-05
3	67	4e-06
3	68	3e-05
3	69	1.1e-05
3	70	1.4e-05
3	71	1.2e-05
3	72	1.7e-05
3	73	7e-06
3	74	9e-06
3	75	1.6e-05
3	76	6e-06
3	77	6e-06
3	78	2e-06
3	79	9e-06
3	80	9e-06
3	81	3e-06
3	82	2.2e-05
3	83	6e-06
3	84	2e-06
3	85	3e-06
3	86	1.3e-05
3	87	1e-05
3	88	6e-06
3	89	6e-06
3	90	6e-06
3	91	1.8e-05
3	92	1e-05
3	93	1.2e-05
3	94	1.8e-05
3	95	7e-06
3	96	1.4e-05
3	97	1.2e-05
3	98	7e-06
3	99	9e-06
3	100	1.4e-05
4	1	1.1e-05
4	2	1.3e-05
4	3	1.9e-05
4	4	2.1e-05
4	5	5e-06
4	6	2e-06
4	7	9e-06
4	8	0.000256
4	9	0.000138
4	10	1e-05
4	11	1e-05
4	12	0.271321
4	13	1.6e-05
4	14	0.12704
4	15	2.2e-05
4	16	1.8e-05
4	17	3.1e-05
4	18	4e-06
4	19	2e-05
4	20	4.4e-05
4	21	5.1e-05
4	22	7e-06
4	23	0.000312
4	24	2.5e-05
4	25	2.4e-05
4	26	4.5e-05
4	27	3.5e-05
4	28	4e-06
4	29	4e-06
4	30	4e-06
4	31	2.9e-05
4	32	2.2e-05
4	33	2.6e-05
4	34	1.2e-05
4	35	1.4e-05
4	36	2.4e-05
4	37	1.8e-05
4	38	8e-06
4	39	8e-06
4	40	1e-05
4	41	0.008631
4	42	3.2e-05
4	43	1.7e-05
4	44	0.000143
4	45	1.4e-05
4	46	1e-05
4	47	9e-06
4	48	6e-06
4	49	2.2e-05
4	50	9e-06
4	51	7e-06
4	52	1.2e-05
4	53	7e-06
4	54	4e-06
4	55	1.8e-05
4	56	1.1e-05
4	57	1.1e-05
4	58	5.8e-05
4	59	7.4e-05
4	60	3e-05
4	61	1.2e-05
4	62	6.3e-05
4	63	9e-06
4	64	4.4e-05
4	65	1.8e-05
4	66	9.4e-05
4	67	7e-06
4	68	4.5e-05
4	69	1.6e-05
4	70	2.1e-05
4	71	0.008599
4	72	2.5e-05
4	73	1e-05
4	74	1.3e-05
4	75	2.4e-05
4	76	9e-06
4	77	1e-05
4	78	3e-06
4	79	1.3e-05
4	80	1.3e-05
4	81	5e-06
4	82	3.3e-05
4	83	8e-06
4	84	3e-06
4	85	5e-06
4	86	1.9e-05
4	87	1.4e-05
4	88	1e-05
4	89	9e-06
4	90	8e-06
4	91	2.6e-05
4	92	1.5e-05
4	93	1.8e-05
4	94	2.6e-05
4	95	0.581858
4	96	2.1e-05
4	97	1.8e-05
4	98	1e-05
4	99	1.3e-05
4	100	2e-05
5	1	5.8e-05
5	2	7.3e-05
5	3	0.000106
5	4	0.000116
5	5	2.6e-05
5	6	1e-05
5	7	4.7e-05
5	8	0.001399
5	9	0.000757
5	10	0.984796
5	11	5.7e-05
5	12	0.000743
5	13	8.9e-05
5	14	0.000157
5	15	0.000118
5	16	9.9e-05
5	17	0.000167
5	18	2.1e-05
5	19	0.000111
5	20	0.000243
5	21	0.000277
5	22	3.6e-05
5	23	0.001707
5	24	0.000138
5	25	0.000133
5	26	0.000248
5	27	0.00019
5	28	2.1e-05
5	29	2.1e-05
5	30	2.1e-05
5	31	0.000159
5	32	0.000118
5	33	0.000141
5	34	6.8e-05
5	35	7.8e-05
5	36	0.000132
5	37	9.9e-05
5	38	4.2e-05
5	39	4.1e-05
5	40	5.2e-05
5	41	0.000267
5	42	0.000176
5	43	9e-05
5	44	0.000781
5	45	7.8e-05
5	46	5.2e-05
5	47	4.7e-05
5	48	3.1e-05
5	49	0.000118
5	50	4.7e-05
5	51	3.6e-05
5	52	6.3e-05
5	53	3.6e-05
5	54	2.1e-05
5	55	0.0001
5	56	6.2e-05
5	57	6.2e-05
5	58	0.000315
5	59	0.000402
5	60	0.000165
5	61	6.7e-05
5	62	0.000342
5	63	4.7e-05
5	64	0.00024
5	65	0.0001
5	66	0.000512
5	67	3.6e-05
5	68	0.000244
5	69	8.6e-05
5	70	0.000116
5	71	9.6e-05
5	72	0.000134
5	73	5.2e-05
5	74	7.3e-05
5	75	0.000129
5	76	5.2e-05
5	77	5.2e-05
5	78	1.5e-05
5	79	7.3e-05
5	80	6.8e-05
5	81	2.6e-05
5	82	0.000178
5	83	4.6e-05
5	84	1.5e-05
5	85	2.6e-05
5	86	0.000106
5	87	7.7e-05
5	88	5.2e-05
5	89	5.2e-05
5	90	4.6e-05
5	91	0.000144
5	92	8.4e-05
5	93	9.6e-05
5	94	0.000144
5	95	5.7e-05
5	96	0.000113
5	97	0.0001
5	98	5.7e-05
5	99	7.3e-05
5	100	0.000111
6	1	1.1e-05
6	2	1.3e-05
6	3	1.9e-05
6	4	2.1e-05
6	5	5e-06
6	6	2e-06
6	7	8e-06
6	8	0.000255
6	9	0.000138
6	10	1e-05
6	11	1e-05
6	12	0.290919
6	13	1.6e-05
6	14	0.114632
6	15	2.1e-05
6	16	1.8e-05
6	17	3.1e-05
6	18	4e-06
6	19	2e-05
6	20	4.4e-05
6	21	5.1e-05
6	22	7e-06
6	23	0.000311
6	24	2.5e-05
6	25	2.4e-05
6	26	4.5e-05
6	27	3.5e-05
6	28	4e-06
6	29	4e-06
