dataset_id	id	alpha
1	6	0.001093
2	271	0.001306
1	78	0.001647
1	84	0.001649
2	230	0.001745
2	286	0.002188
1	18	0.002196
2	261	0.002197
1	29	0.002198
1	54	0.002198
1	28	0.002199
1	30	0.002202
3	12240	0.002292
3	12265	0.002294
3	12217	0.002295
3	12214	0.0023
3	12278	0.002303
2	273	0.002612
2	258	0.002612
2	267	0.002617
2	206	0.002618
2	248	0.002628
1	85	0.002733
1	5	0.002734
1	81	0.002751
2	288	0.003045
2	299	0.003057
1	48	0.003287
3	12287	0.003434
3	12233	0.003436
3	12293	0.003438
3	12294	0.003439
3	12221	0.003447
3	12295	0.003454
3	12286	0.00348
2	218	0.003501
2	221	0.003506
2	207	0.003518
2	235	0.003523
1	51	0.003834
1	67	0.003848
1	22	0.00385
1	53	0.003852
2	253	0.003933
2	280	0.003934
2	204	0.004396
2	237	0.004403
1	39	0.004419
1	38	0.004444
3	12237	0.004572
3	12210	0.004573
3	12225	0.004582
3	12285	0.004593
3	12276	0.004603
3	12211	0.004623
3	12271	0.004664
3	12218	0.004682
2	215	0.004803
2	239	0.00481
2	232	0.004813
2	255	0.004819
2	247	0.004827
2	291	0.004861
1	83	0.004934
1	90	0.00495
1	7	0.004961
1	50	0.004988
1	63	0.004996
1	47	0.005
2	289	0.005264
2	281	0.00527
2	276	0.005276
1	89	0.005516
1	76	0.005533
1	88	0.005543
1	77	0.005555
1	46	0.005561
1	40	0.005561
1	73	0.005575
2	210	0.005694
2	262	0.005709
2	294	0.00571
2	300	0.005714
2	229	0.005727
2	266	0.005742
3	12270	0.005801
3	12296	0.005823
3	12202	0.005853
3	12239	0.00593
1	98	0.006048
1	11	0.006076
1	10	0.00608
1	95	0.006119
2	227	0.006136
1	1	0.00615
2	226	0.006195
2	274	0.006219
2	263	0.006591
2	269	0.006619
1	57	0.006622
1	56	0.006661
1	52	0.006701
3	12209	0.006906
3	12269	0.00696
3	12267	0.006965
3	12206	0.006968
3	12219	0.006988
3	12244	0.006991
3	12248	0.006997
3	12282	0.00701
2	203	0.007021
3	12299	0.007022
2	284	0.007023
2	285	0.007038
3	12228	0.007042
2	250	0.007051
2	240	0.007112
2	295	0.007149
2	220	0.007155
1	61	0.007197
1	34	0.007275
1	80	0.007283
2	275	0.007518
2	252	0.007566
1	2	0.007781
1	99	0.007796
1	79	0.007815
1	74	0.007815
2	231	0.007994
2	283	0.008111
3	12288	0.008112
3	12234	0.008112
3	12254	0.008113
3	12243	0.008115
3	12208	0.008122
3	12223	0.008131
3	12255	0.008159
1	87	0.008263
1	35	0.008293
1	45	0.008336
2	260	0.008385
3	12212	0.008388
2	279	0.008455
2	296	0.008811
2	217	0.008938
1	92	0.008984
1	69	0.009135
3	12281	0.009288
3	12284	0.009295
3	12259	0.009297
3	12280	0.009317
3	12290	0.00934
3	12289	0.009364
3	12226	0.009388
2	298	0.009467
1	13	0.009503
1	43	0.009621
2	277	0.010219
1	93	0.010247
1	71	0.010289
2	216	0.010318
3	12253	0.01046
1	16	0.010556
1	37	0.010586
3	12222	0.010594
3	12256	0.010647
1	55	0.01065
3	12264	0.010652
1	97	0.01066
2	254	0.010704
1	65	0.010706
2	246	0.010722
2	202	0.010725
2	290	0.010732
2	225	0.010773
2	270	0.010809
3	12213	0.010859
1	86	0.011313
1	3	0.01132
2	233	0.011432
1	19	0.011812
3	12203	0.011842
3	12279	0.011859
3	12236	0.011867
1	100	0.011873
1	96	0.012
3	12266	0.012059
3	12262	0.0121
3	12297	0.012102
2	205	0.012111
1	70	0.012358
1	4	0.012417
2	297	0.012447
1	32	0.012534
1	15	0.012544
1	49	0.012609
3	12229	0.012803
3	12242	0.012833
3	12246	0.012872
3	12252	0.012896
2	249	0.012902
2	241	0.013037
3	12292	0.013069
2	287	0.013311
2	222	0.013528
2	211	0.013686
1	75	0.013721
2	244	0.01375
1	36	0.014031
1	25	0.014209
1	72	0.014285
3	12257	0.014434
1	24	0.014688
2	268	0.014912
1	33	0.014983
2	228	0.015296
1	91	0.015311
2	201	0.01534
1	94	0.015388
2	265	0.015464
3	12277	0.015632
2	243	0.015755
3	12207	0.016569
3	12268	0.016648
1	14	0.016715
3	12272	0.016859
3	12261	0.016902
3	12235	0.016903
1	31	0.016936
3	12273	0.016952
2	224	0.017034
2	238	0.017043
1	60	0.01762
1	17	0.017838
3	12205	0.017929
2	213	0.017971
3	12227	0.018268
2	264	0.018679
1	42	0.018726
2	214	0.018923
1	82	0.019028
3	12283	0.019326
3	12251	0.019736
1	27	0.02022
2	292	0.020503
3	12215	0.021326
2	272	0.021547
3	12298	0.021644
2	242	0.022662
3	12247	0.022957
3	12232	0.024198
3	12241	0.025384
1	64	0.02556
2	257	0.025824
1	20	0.025901
1	68	0.026063
2	212	0.026346
1	26	0.026396
3	12216	0.026455
2	219	0.027473
3	12291	0.02753
1	41	0.028425
3	12201	0.029435
2	293	0.029514
1	21	0.029546
3	12274	0.032039
3	12258	0.032518
2	245	0.033052
1	58	0.033573
3	12238	0.033593
3	12220	0.034978
3	12250	0.035018
3	12204	0.036373
1	62	0.036414
2	236	0.038005
3	12300	0.040558
2	251	0.042237
1	59	0.042885
3	12230	0.049225
2	259	0.049536
2	208	0.053955
1	66	0.054566
2	282	0.056313
3	12245	0.059571
3	12231	0.060146
2	223	0.070412
