topic_a,topic_b,cosign_similarity,id,dataset_id,date,alpha,id,dataset_id,date,alpha
15528,15387,0.97759,15528,2,2012-09-03,0.014035,15387,2,2012-09-01,0.01504
16506,15387,0.963809,16506,2,2012-09-13,0.007251,15387,2,2012-09-01,0.01504
16485,15387,0.955378,16485,2,2012-09-12,0.004819,15387,2,2012-09-01,0.01504
15671,15387,0.953722,15671,2,2012-09-04,0.014454,15387,2,2012-09-01,0.01504
16702,15387,0.943254,16702,2,2012-09-15,0.027198,15387,2,2012-09-01,0.01504
16614,15387,0.936825,16614,2,2012-09-14,0.014806,15387,2,2012-09-01,0.01504
16266,15387,0.799663,16266,2,2012-09-10,0.026682,15387,2,2012-09-01,0.01504
15857,15387,0.798958,15857,2,2012-09-06,0.01246,15387,2,2012-09-01,0.01504
16112,15387,0.784776,16112,2,2012-09-09,0.043674,15387,2,2012-09-01,0.01504
16665,15352,0.774572,16665,2,2012-09-14,0.128143,15352,2,2012-09-01,0.126367
15704,15352,0.770235,15704,2,2012-09-05,0.172441,15352,2,2012-09-01,0.126367
16398,15352,0.768186,16398,2,2012-09-11,0.154706,15352,2,2012-09-01,0.126367
16460,15352,0.761013,16460,2,2012-09-12,0.171492,15352,2,2012-09-01,0.126367
15479,15352,0.760865,15479,2,2012-09-02,0.118265,15352,2,2012-09-01,0.126367
15896,15352,0.760795,15896,2,2012-09-06,0.184434,15352,2,2012-09-01,0.126367
15962,15352,0.754138,15962,2,2012-09-07,0.173225,15352,2,2012-09-01,0.126367
15646,15352,0.75195,15646,2,2012-09-04,0.198893,15352,2,2012-09-01,0.126367
15685,15385,0.751221,15685,2,2012-09-04,0.11029,15385,2,2012-09-01,0.324163
16488,15364,0.750588,16488,2,2012-09-12,0.049108,15364,2,2012-09-01,0.048724
15764,15385,0.746103,15764,2,2012-09-05,0.110035,15385,2,2012-09-01,0.324163
16314,15385,0.745021,16314,2,2012-09-11,0.081653,15385,2,2012-09-01,0.324163
15873,15385,0.730891,15873,2,2012-09-06,0.110759,15385,2,2012-09-01,0.324163
15565,15352,0.729128,15565,2,2012-09-03,0.156142,15352,2,2012-09-01,0.126367
16465,15385,0.725616,16465,2,2012-09-12,0.07407,15385,2,2012-09-01,0.324163
16363,15364,0.716135,16363,2,2012-09-11,0.033912,15364,2,2012-09-01,0.048724
16183,15352,0.711163,16183,2,2012-09-09,0.215773,15352,2,2012-09-01,0.126367
15993,15387,0.708943,15993,2,2012-09-07,0.016829,15387,2,2012-09-01,0.01504
16771,15364,0.704071,16771,2,2012-09-15,0.064106,15364,2,2012-09-01,0.048724
15983,15385,0.703492,15983,2,2012-09-07,0.093074,15385,2,2012-09-01,0.324163
15759,15387,0.696636,15759,2,2012-09-05,0.0046,15387,2,2012-09-01,0.01504
15778,15364,0.690991,15778,2,2012-09-05,0.028577,15364,2,2012-09-01,0.048724
16508,15364,0.686552,16508,2,2012-09-13,0.050712,15364,2,2012-09-01,0.048724
