topic_a,topic_b,cosign_similarity,id,dataset_id,date,alpha,id,dataset_id,date,alpha
3969,3159,0.999786,3969,1,2012-09-09,0.01879,3159,1,2012-09-01,0.019017
3721,3159,0.999747,3721,1,2012-09-07,0.014493,3159,1,2012-09-01,0.019017
4119,3159,0.999674,4119,1,2012-09-11,0.013247,3159,1,2012-09-01,0.019017
4442,3159,0.999668,4442,1,2012-09-14,0.016606,3159,1,2012-09-01,0.019017
3662,3159,0.999653,3662,1,2012-09-06,0.018852,3159,1,2012-09-01,0.019017
4076,3159,0.999628,4076,1,2012-09-10,0.020706,3159,1,2012-09-01,0.019017
3368,3159,0.999573,3368,1,2012-09-03,0.026301,3159,1,2012-09-01,0.019017
3401,3159,0.999569,3401,1,2012-09-04,0.020219,3159,1,2012-09-01,0.019017
3814,3159,0.999537,3814,1,2012-09-08,0.012086,3159,1,2012-09-01,0.019017
3241,3159,0.999502,3241,1,2012-09-02,0.031532,3159,1,2012-09-01,0.019017
4375,3159,0.999316,4375,1,2012-09-13,0.014643,3159,1,2012-09-01,0.019017
3502,3159,0.999292,3502,1,2012-09-05,0.017354,3159,1,2012-09-01,0.019017
4231,3159,0.99926,4231,1,2012-09-12,0.012244,3159,1,2012-09-01,0.019017
4570,3159,0.998853,4570,1,2012-09-15,0.014828,3159,1,2012-09-01,0.019017
3822,3145,0.991157,3822,1,2012-09-08,0.009164,3145,1,2012-09-01,0.008069
4396,3145,0.990809,4396,1,2012-09-13,0.007304,3145,1,2012-09-01,0.008069
3538,3145,0.990692,3538,1,2012-09-05,0.006107,3145,1,2012-09-01,0.008069
4273,3145,0.989995,4273,1,2012-09-12,0.008367,3145,1,2012-09-01,0.008069
3378,3145,0.989804,3378,1,2012-09-03,0.006515,3145,1,2012-09-01,0.008069
3420,3145,0.989605,3420,1,2012-09-04,0.008004,3145,1,2012-09-01,0.008069
4065,3145,0.989446,4065,1,2012-09-10,0.007137,3145,1,2012-09-01,0.008069
3762,3145,0.98906,3762,1,2012-09-07,0.006195,3145,1,2012-09-01,0.008069
3606,3145,0.989053,3606,1,2012-09-06,0.007162,3145,1,2012-09-01,0.008069
4154,3145,0.988724,4154,1,2012-09-11,0.010651,3145,1,2012-09-01,0.008069
3224,3145,0.988091,3224,1,2012-09-02,0.007286,3145,1,2012-09-01,0.008069
4534,3145,0.987588,4534,1,2012-09-15,0.011534,3145,1,2012-09-01,0.008069
3960,3145,0.983417,3960,1,2012-09-09,0.00846,3145,1,2012-09-01,0.008069
