topic_a,topic_b,cosign_similarity,id,dataset_id,date,alpha,id,dataset_id,date,alpha
10309,9235,1,10309,3,2012-09-12,0.00342,9235,3,2012-09-01,0.00423
9465,9235,1,9465,3,2012-09-03,0.004727,9235,3,2012-09-01,0.00423
10130,9235,1,10130,3,2012-09-10,0.002365,9235,3,2012-09-01,0.00423
10649,9235,0.999609,10649,3,2012-09-15,0.004685,9235,3,2012-09-01,0.00423
10172,9277,0.997579,10172,3,2012-09-10,0.01359,9277,3,2012-09-01,0.012867
9763,9277,0.997108,9763,3,2012-09-06,0.016358,9277,3,2012-09-01,0.012867
9946,9235,0.997071,9946,3,2012-09-08,0.00459,9235,3,2012-09-01,0.00423
10683,9222,0.99705,10683,3,2012-09-15,0.015238,9222,3,2012-09-01,0.020713
9516,9277,0.997044,9516,3,2012-09-04,0.010301,9277,3,2012-09-01,0.012867
10213,9277,0.997031,10213,3,2012-09-11,0.015861,9277,3,2012-09-01,0.012867
10513,9235,0.99695,10513,3,2012-09-14,0.009709,9235,3,2012-09-01,0.00423
9865,9277,0.996879,9865,3,2012-09-07,0.02362,9277,3,2012-09-01,0.012867
10088,9277,0.996158,10088,3,2012-09-09,0.021434,9277,3,2012-09-01,0.012867
9587,9222,0.995973,9587,3,2012-09-04,0.024806,9222,3,2012-09-01,0.020713
10315,9277,0.995853,10315,3,2012-09-12,0.019175,9277,3,2012-09-01,0.012867
10056,9235,0.995831,10056,3,2012-09-09,0.007585,9235,3,2012-09-01,0.00423
9991,9222,0.995686,9991,3,2012-09-08,0.015052,9222,3,2012-09-01,0.020713
9495,9277,0.994782,9495,3,2012-09-03,0.017278,9277,3,2012-09-01,0.012867
9425,9222,0.994601,9425,3,2012-09-03,0.018371,9222,3,2012-09-01,0.020713
9698,9277,0.994481,9698,3,2012-09-05,0.01036,9277,3,2012-09-01,0.012867
9631,9235,0.99423,9631,3,2012-09-05,0.00598,9235,3,2012-09-01,0.00423
9400,9235,0.992558,9400,3,2012-09-02,0.006831,9235,3,2012-09-01,0.00423
9730,9222,0.991228,9730,3,2012-09-06,0.018924,9222,3,2012-09-01,0.020713
9561,9235,0.991152,9561,3,2012-09-04,0.004468,9235,3,2012-09-01,0.00423
10225,9235,0.989343,10225,3,2012-09-11,0.002312,9235,3,2012-09-01,0.00423
10406,9235,0.989343,10406,3,2012-09-13,0.002141,9235,3,2012-09-01,0.00423
10699,9261,0.972978,10699,3,2012-09-15,0.040978,9261,3,2012-09-01,0.026873
10084,9222,0.97102,10084,3,2012-09-09,0.003234,9222,3,2012-09-01,0.020713
9539,9261,0.968468,9539,3,2012-09-04,0.024904,9261,3,2012-09-01,0.026873
9708,9235,0.96767,9708,3,2012-09-06,0.00485,9235,3,2012-09-01,0.00423
9673,9222,0.963633,9673,3,2012-09-05,0.010048,9222,3,2012-09-01,0.020713
9993,9261,0.96211,9993,3,2012-09-08,0.033702,9261,3,2012-09-01,0.026873
10399,9261,0.961513,10399,3,2012-09-12,0.047979,9261,3,2012-09-01,0.026873
9340,9277,0.959714,9340,3,2012-09-02,0.004101,9277,3,2012-09-01,0.012867
10565,9277,0.955249,10565,3,2012-09-14,0.01842,9277,3,2012-09-01,0.012867
10644,9277,0.950878,10644,3,2012-09-15,0.005671,9277,3,2012-09-01,0.012867
9666,9261,0.947354,9666,3,2012-09-05,0.016421,9261,3,2012-09-01,0.026873
9365,9261,0.932022,9365,3,2012-09-02,0.03995,9261,3,2012-09-01,0.026873
10436,9277,0.929804,10436,3,2012-09-13,0.006555,9277,3,2012-09-01,0.012867
9373,9222,0.924044,9373,3,2012-09-02,0.006798,9222,3,2012-09-01,0.020713
9826,9235,0.923718,9826,3,2012-09-07,0.004148,9235,3,2012-09-01,0.00423
10017,9261,0.918232,10017,3,2012-09-09,0.043919,9261,3,2012-09-01,0.026873
9821,9261,0.905846,9821,3,2012-09-07,0.041023,9261,3,2012-09-01,0.026873
10546,9261,0.90539,10546,3,2012-09-14,0.049091,9261,3,2012-09-01,0.026873
9719,9261,0.903512,9719,3,2012-09-06,0.025716,9261,3,2012-09-01,0.026873
10409,9261,0.897377,10409,3,2012-09-13,0.028335,9261,3,2012-09-01,0.026873
9909,9277,0.892523,9909,3,2012-09-08,0.009278,9277,3,2012-09-01,0.012867
9417,9261,0.890889,9417,3,2012-09-03,0.03552,9261,3,2012-09-01,0.026873
10258,9222,0.888115,10258,3,2012-09-11,0.008162,9222,3,2012-09-01,0.020713
10583,9222,0.864416,10583,3,2012-09-14,0.012721,9222,3,2012-09-01,0.020713
10498,9222,0.848949,10498,3,2012-09-13,0.015534,9222,3,2012-09-01,0.020713
10123,9261,0.842203,10123,3,2012-09-10,0.024236,9261,3,2012-09-01,0.026873
9303,9227,0.831963,9303,3,2012-09-02,0.020279,9227,3,2012-09-01,0.013928
10090,9281,0.831655,10090,3,2012-09-09,0.193296,9281,3,2012-09-01,0.122263
10504,9219,0.828595,10504,3,2012-09-14,0.403252,9219,3,2012-09-01,0.303133
9615,9219,0.823448,9615,3,2012-09-05,0.331753,9219,3,2012-09-01,0.303133
9307,9281,0.822275,9307,3,2012-09-02,0.089505,9281,3,2012-09-01,0.122263
9591,9219,0.820975,9591,3,2012-09-04,0.376547,9219,3,2012-09-01,0.303133
9313,9219,0.800621,9313,3,2012-09-02,0.269074,9219,3,2012-09-01,0.303133
9758,9219,0.797516,9758,3,2012-09-06,0.338636,9219,3,2012-09-01,0.303133
10482,9219,0.787954,10482,3,2012-09-13,0.432041,9219,3,2012-09-01,0.303133
10193,9281,0.786673,10193,3,2012-09-10,0.226125,9281,3,2012-09-01,0.122263
9957,9237,0.786596,9957,3,2012-09-08,0.010364,9237,3,2012-09-01,0.011866
9890,9222,0.786315,9890,3,2012-09-07,0.013634,9222,3,2012-09-01,0.020713
9597,9281,0.780493,9597,3,2012-09-04,0.036516,9281,3,2012-09-01,0.122263
9370,9276,0.779598,9370,3,2012-09-02,0.005425,9276,3,2012-09-01,0.005232
10239,9237,0.771279,10239,3,2012-09-11,0.018292,9237,3,2012-09-01,0.011866
9317,9212,0.748514,9317,3,2012-09-02,0.004065,9212,3,2012-09-01,0.005289
9391,9242,0.73915,9391,3,2012-09-02,0.009448,9242,3,2012-09-01,0.016462
10303,9222,0.739072,10303,3,2012-09-12,0.039079,9222,3,2012-09-01,0.020713
9955,9264,0.737653,9955,3,2012-09-08,0.003661,9264,3,2012-09-01,0.004182
10620,9281,0.735059,10620,3,2012-09-15,0.035544,9281,3,2012-09-01,0.122263
10681,9281,0.732936,10681,3,2012-09-15,0.087189,9281,3,2012-09-01,0.122263
9934,9281,0.728974,9934,3,2012-09-08,0.0462,9281,3,2012-09-01,0.122263
9592,9300,0.728701,9592,3,2012-09-04,0.017291,9300,3,2012-09-01,0.010594
9372,9295,0.722104,9372,3,2012-09-02,0.012464,9295,3,2012-09-01,0.015211
10669,9219,0.7211,10669,3,2012-09-15,0.267418,9219,3,2012-09-01,0.303133
9817,9295,0.717239,9817,3,2012-09-07,0.008458,9295,3,2012-09-01,0.015211
10323,9300,0.716265,10323,3,2012-09-12,0.010378,9300,3,2012-09-01,0.010594
10555,9300,0.716017,10555,3,2012-09-14,0.017524,9300,3,2012-09-01,0.010594
10209,9300,0.711585,10209,3,2012-09-11,0.011897,9300,3,2012-09-01,0.010594
10206,9219,0.71027,10206,3,2012-09-11,0.383975,9219,3,2012-09-01,0.303133
10305,9219,0.706296,10305,3,2012-09-12,0.372641,9219,3,2012-09-01,0.303133
9463,9241,0.704669,9463,3,2012-09-03,0.100304,9241,3,2012-09-01,0.134252
9382,9208,0.703694,9382,3,2012-09-02,0.014194,9208,3,2012-09-01,0.005281
9964,9219,0.700121,9964,3,2012-09-08,0.078033,9219,3,2012-09-01,0.303133
9456,9281,0.691468,9456,3,2012-09-03,0.048151,9281,3,2012-09-01,0.122263
10503,9241,0.689678,10503,3,2012-09-14,0.153679,9241,3,2012-09-01,0.134252
9840,9219,0.686829,9840,3,2012-09-07,0.281558,9219,3,2012-09-01,0.303133
9711,9237,0.685334,9711,3,2012-09-06,0.026839,9237,3,2012-09-01,0.011866
9507,9226,0.676064,9507,3,2012-09-04,0.005682,9226,3,2012-09-01,0.016054
9531,9295,0.673714,9531,3,2012-09-04,0.010347,9295,3,2012-09-01,0.015211
10050,9219,0.672278,10050,3,2012-09-09,0.209583,9219,3,2012-09-01,0.303133
9336,9279,0.669714,9336,3,2012-09-02,0.006871,9279,3,2012-09-01,0.011762
9408,9219,0.661839,9408,3,2012-09-03,0.3234,9219,3,2012-09-01,0.303133
9970,9241,0.660498,9970,3,2012-09-08,0.044957,9241,3,2012-09-01,0.134252
10603,9264,0.660279,10603,3,2012-09-15,0.011403,9264,3,2012-09-01,0.004182
9384,9237,0.657625,9384,3,2012-09-02,0.051967,9237,3,2012-09-01,0.011866
9829,9237,0.652023,9829,3,2012-09-07,0.013969,9237,3,2012-09-01,0.011866
10512,9237,0.652017,10512,3,2012-09-14,0.036508,9237,3,2012-09-01,0.011866
10352,9281,0.64912,10352,3,2012-09-12,0.091551,9281,3,2012-09-01,0.122263
10052,9237,0.647416,10052,3,2012-09-09,0.008665,9237,3,2012-09-01,0.011866
9633,9285,0.644182,9633,3,2012-09-05,0.092799,9285,3,2012-09-01,0.030778
10131,9242,0.642941,10131,3,2012-09-10,0.011099,9242,3,2012-09-01,0.016462
10693,9300,0.64091,10693,3,2012-09-15,0.012421,9300,3,2012-09-01,0.010594
9555,9285,0.639331,9555,3,2012-09-04,0.027126,9285,3,2012-09-01,0.030778
9488,9243,0.639249,9488,3,2012-09-03,0.052709,9243,3,2012-09-01,0.034102
10068,9292,0.636179,10068,3,2012-09-09,0.012005,9292,3,2012-09-01,0.004192
9380,9285,0.633262,9380,3,2012-09-02,0.04902,9285,3,2012-09-01,0.030778
10241,9285,0.632382,10241,3,2012-09-11,0.056209,9285,3,2012-09-01,0.030778
10118,9219,0.631591,10118,3,2012-09-10,0.184046,9219,3,2012-09-01,0.303133
10696,9218,0.629571,10696,3,2012-09-15,0.002804,9218,3,2012-09-01,0.004185
9479,9242,0.628865,9479,3,2012-09-03,0.003542,9242,3,2012-09-01,0.016462
9923,9282,0.627969,9923,3,2012-09-08,0.007527,9282,3,2012-09-01,0.04664
9583,9241,0.625424,9583,3,2012-09-04,0.111763,9241,3,2012-09-01,0.134252
9609,9300,0.623157,9609,3,2012-09-05,0.009137,9300,3,2012-09-01,0.010594
9360,9218,0.621687,9360,3,2012-09-02,0.002699,9218,3,2012-09-01,0.004185
10665,9241,0.621166,10665,3,2012-09-15,0.073274,9241,3,2012-09-01,0.134252
9898,9208,0.619837,9898,3,2012-09-07,0.004161,9208,3,2012-09-01,0.005281
10640,9267,0.618549,10640,3,2012-09-15,0.007691,9267,3,2012-09-01,0.027047
10469,9278,0.617078,10469,3,2012-09-13,0.026922,9278,3,2012-09-01,0.008417
10254,9281,0.616669,10254,3,2012-09-11,0.124546,9281,3,2012-09-01,0.122263
9392,9241,0.615838,9392,3,2012-09-02,0.104973,9241,3,2012-09-01,0.134252
9348,9300,0.611685,9348,3,2012-09-02,0.006862,9300,3,2012-09-01,0.010594
9318,9234,0.60172,9318,3,2012-09-02,0.006901,9234,3,2012-09-01,0.008535
10077,9237,0.597769,10077,3,2012-09-09,0.042806,9237,3,2012-09-01,0.011866
9797,9208,0.596321,9797,3,2012-09-06,0.011151,9208,3,2012-09-01,0.005281
9904,9222,0.593786,9904,3,2012-09-08,0.007476,9222,3,2012-09-01,0.020713
10461,9285,0.592684,10461,3,2012-09-13,0.074126,9285,3,2012-09-01,0.030778
9986,9281,0.58758,9986,3,2012-09-08,0.053586,9281,3,2012-09-01,0.122263
10175,9292,0.58698,10175,3,2012-09-10,0.008445,9292,3,2012-09-01,0.004192
9847,9241,0.585788,9847,3,2012-09-07,0.160955,9241,3,2012-09-01,0.134252
10173,9278,0.581034,10173,3,2012-09-10,0.013438,9278,3,2012-09-01,0.008417
9473,9300,0.578549,9473,3,2012-09-03,0.010839,9300,3,2012-09-01,0.010594
